Site.Code,Sampling.Unit.Name,Sampling.Period,Temp.Min,Temp.Max,Temp.Var,Year
PSH,CT-PSH-3-11,2013.01,21,29,4.415317922,2013
PSH,CT-PSH-3-22,2013.01,23,28,4.942819149,2013
PSH,CT-PSH-3-16,2013.01,22,34,8.161799437,2013
PSH,CT-PSH-1-19,2013.01,22,26,2.25823941,2013
PSH,CT-PSH-3-01,2013.01,23,26,1.436593817,2013
PSH,CT-PSH-3-15,2013.01,24,30,2.89540822,2013
PSH,CT-PSH-3-21,2013.01,21,26,2.972268908,2013
PSH,CT-PSH-1-01,2013.01,22,26,2.476371951,2013
PSH,CT-PSH-3-17,2013.01,22,38,13.52332462,2013
PSH,CT-PSH-1-29,2013.01,21,32,3.498344841,2013
PSH,CT-PSH-1-25,2013.01,23,27,1.540540541,2013
YAN,CT-YAN-1-23,2011.01,21,24,0.857142857,2011
YAN,CT-YAN-2-18,2011.01,19,19,0,2011
YAN,CT-YAN-1-18,2011.01,21,24,0.308181818,2011
YAN,CT-YAN-2-10,2011.01,19,20,0.176100629,2011
YAN,CT-YAN-2-30,2011.01,15,21,2.962688387,2011
YAN,CT-YAN-1-20,2011.01,16,23,1.739911417,2011
YAN,CT-YAN-1-13,2011.01,20,26,1.314842249,2011
YAN,CT-YAN-1-22,2011.01,22,27,2.737538941,2011
YAN,CT-YAN-2-07,2011.01,17,23,2.348660536,2011
YAN,CT-YAN-2-21,2011.01,19,23,0.968130381,2011
YAN,CT-YAN-1-17,2011.01,21,21,0,2011
YAN,CT-YAN-1-29,2011.01,20,26,6.578168733,2011
YAN,CT-YAN-2-27,2011.01,18,25,2.82518797,2011
YAN,CT-YAN-1-27,2011.01,21,26,3.092465753,2011
YAN,CT-YAN-2-08,2011.01,18,26,4.060249732,2011
YAN,CT-YAN-1-12,2011.01,23,23,0,2011
YAN,CT-YAN-2-01,2011.01,18,23,1.419883653,2011
YAN,CT-YAN-2-09,2011.01,18,24,2.279432624,2011
YAN,CT-YAN-2-23,2011.01,19,23,1.751572327,2011
YAN,CT-YAN-2-02,2011.01,18,23,2.20982801,2011
YAN,CT-YAN-1-30,2011.01,19,21,0.446808511,2011
YAN,CT-YAN-2-22,2011.01,20,23,1.192672999,2011
YAN,CT-YAN-2-04,2011.01,19,30,20.1693502,2011
YAN,CT-YAN-1-24,2011.01,19,23,1.589430894,2011
YAN,CT-YAN-1-02,2011.01,20,27,6.375300722,2011
YAN,CT-YAN-2-03,2011.01,18,24,2.505430892,2011
YAN,CT-YAN-1-25,2011.01,20,24,3.568965517,2011
YAN,CT-YAN-1-10,2011.01,18,24,1.16965527,2011
YAN,CT-YAN-1-26,2011.01,19,26,4.101377953,2011
YAN,CT-YAN-2-05,2011.01,18,22,2.203928081,2011
YAN,CT-YAN-1-03,2011.01,17,25,2.156933389,2011
YAN,CT-YAN-1-15,2011.01,20,25,5.357142857,2011
YAN,CT-YAN-2-24,2011.01,20,24,1.114371172,2011
YAN,CT-YAN-2-25,2011.01,17,22,1.107092199,2011
YAN,CT-YAN-1-09,2011.01,19,23,1.489343989,2011
YAN,CT-YAN-2-20,2011.01,22,22,0,2011
YAN,CT-YAN-2-28,2011.01,20,26,2.595870968,2011
YAN,CT-YAN-2-15,2011.01,20,25,2.768793706,2011
YAN,CT-YAN-1-06,2011.01,19,21,0.400809717,2011
YAN,CT-YAN-1-08,2011.01,19,25,5.5,2011
YAN,CT-YAN-2-11,2011.01,19,21,0.508235294,2011
YAN,CT-YAN-2-26,2011.01,18,25,1.881885856,2011
YAN,CT-YAN-1-11,2011.01,19,23,0.898876404,2011
YAN,CT-YAN-2-13,2011.01,18,23,1.89815818,2011
YAN,CT-YAN-2-29,2011.01,20,22,0.685714286,2011
YAN,CT-YAN-1-14,2011.01,21,23,0.454272864,2011
YAN,CT-YAN-1-07,2011.01,18,22,2.7,2011
YAN,CT-YAN-1-21,2011.01,19,24,2.623391813,2011
YAN,CT-YAN-2-12,2011.01,22,23,0.218181818,2011
YAN,CT-YAN-2-19,2011.01,19,25,2.46953047,2011
YAN,CT-YAN-1-19,2011.01,19,25,2.407887235,2011
YAN,CT-YAN-2-14,2011.01,22,22,0,2011
YAN,CT-YAN-1-01,2011.01,19,23,1.089486166,2011
YAN,CT-YAN-1-16,2011.01,19,26,2.473011763,2011
YAN,CT-YAN-2-17,2011.01,18,24,3.098725192,2011
YAN,CT-YAN-2-16,2011.01,24,24,0,2011
YAN,CT-YAN-1-05,2011.01,18,22,1.067702295,2011
YAN,CT-YAN-1-28,2011.01,22,24,0.685714286,2011
YAN,CT-YAN-2-18,2012.01,20,22,1.090909091,2012
